iter	Passed	Remaining
442	1304	1640
443	1305	1635
444	1307	1630
445	1308	1625
446	1315	1627
447	1316	1622
448	1318	1617
449	1319	1612
450	1320	1607
451	1323	1604
452	1327	1602
453	1328	1598
454	1330	1593
455	1331	1588
456	1333	1584
457	1334	1579
458	1336	1574
459	1338	1570
460	1366	1597
461	1367	1593
462	1369	1588
463	1395	1612
464	1396	1607
465	1400	1604
466	1410	1609
467	1412	1605
468	1415	1602
469	1416	1597
470	1419	1593
471	1427	1596
472	1431	1595
473	1433	1590
474	1434	1585
475	1435	1579
476	1441	1580
477	1442	1575
478	1443	1570
479	1444	1565
480	1445	1560
481	1447	1555
482	1476	1580
483	1477	1575
484	1479	1571
485	1480	1566
486	1481	1561
487	1483	1555
488	1484	1550
489	1490	1550
490	1492	1547
491	1493	1542
492	1494	1537
493	1495	1532
494	1497	1527
495	1499	1523
496	1503	1521
497	1504	1516
498	1506	1512
499	1507	1507
500	1509	1502
501	1510	1498
502	1511	1493
503	1512	1488
504	1513	1483
505	1530	1494
506	1534	1492
507	1537	1488
508	1541	1487
509	1544	1483
510	1551	1484
511	1557	1484
512	1558	1479
513	1561	1476
514	1562	1471
515	1566	1469
516	1569	1465
517	1570	1461
518	1571	1456
519	1573	1452
520	1574	1447
521	1575	1443
522	1577	1438
523	1578	1433
524	1582	1431
525	1583	1427
526	1585	1422
527	1586	1418
528	1587	1413
529	1590	1410
530	1591	1405
531	1593	1401
532	1598	1400
533	1599	1395
534	1600	1391
535	1601	1386
536	1604	1383
537	1607	1380
538	1609	1376
539	1615	1375
540	1621	1376
541	1623	1372
542	1624	1367
543	1648	1381
544	1649	1377
545	1651	1372
546	1652	1368
547	1653	1363
548	1654	1359
549	1655	1354
550	1657	1350
551	1660	1347
552	1662	1343
553	1663	1339
554	1665	1335
555	1667	1331
556	1668	1327
557	1669	1322
558	1750	1380
559	1751	1375
560	1752	1371
561	1753	1366
562	1754	1361
563	1760	1360
564	1762	1357
565	1763	1352
566	1764	1347
567	1765	1343
568	1767	1338
569	1768	1334
570	1769	1329
571	1770	1325
572	1776	1323
573	1777	1319
574	1778	1314
575	1780	1310
576	1781	1305
577	1782	1301
578	1783	1296
579	1785	1292
580	1786	1288
581	1792	1287
582	1857	1328
583	1859	1324
584	1862	1321
585	1864	1317
586	1866	1313
587	1867	1308
588	1868	1303
589	1878	1305
590	1879	1300
591	1880	1295
592	1881	1291
593	1883	1287
594	1890	1286
595	1891	1282
596	1893	1278
597	1895	1274
598	1896	1269
599	1897	1265
600	1898	1260
601	1899	1256
602	1937	1275
603	1938	1270
604	1939	1266
605	1940	1261
606	1942	1257
607	1943	1253
608	1975	1268
609	1976	1263
610	1978	1259
611	1983	1257
612	1985	1253
613	1986	1248
614	1987	1244
615	1988	1239
616	1989	1235
617	1991	1230
618	1992	1226
619	1994	1222
620	1998	1219
621	2001	1216
622	2002	1211
623	2003	1207
624	2005	1203
625	2008	1199
626	2009	1195
627	2011	1191
628	2014	1188
629	2015	1183
630	2017	1180
631	2019	1175
632	2025	1174
633	2027	1170
634	2030	1166
635	2031	1162
636	2032	1158
637	2034	1154
638	2036	1150
639	2040	1147
640	2042	1143
641	2043	1139
642	2044	1135
643	2045	1131
644	2047	1127
645	2049	1122
646	2050	1118
647	2054	1116
648	2056	1112
649	2057	1108
650	2059	1103
651	2060	1099
652	2061	1095
653	2063	1091
654	2065	1087
655	2066	1083
656	2070	1081
657	2072	1077
658	2074	1073
659	2075	1068
660	2076	1065
661	2077	1060
662	2079	1057
663	2081	1053
664	2091	1053
665	2093	1050
666	2095	1045
667	2096	1041
668	2120	1049
669	2122	1045
670	2124	1041
671	2125	1037
672	2126	1033
673	2128	1029
674	2129	1025
675	2159	1035
676	2161	1031
677	2162	1027
678	2169	1025
679	2171	1021
680	2172	1017
681	2173	1013
682	2175	1009
683	2177	1005
684	2183	1004
685	2185	1000
686	2187	996
687	2189	992
688	2190	988
689	2226	1000
690	2232	998
691	2239	996
692	2241	993
693	2246	990
694	2252	988
695	2253	984
696	2254	980
697	2256	976
698	2261	973
699	2264	970
700	2265	966
701	2266	962
702	2267	957
703	2268	953
704	2269	949
705	2270	945
706	2272	941
707	2280	940
708	2283	937
709	2284	933
710	2285	929
711	2286	925
712	2288	920
713	2289	916
714	2294	914
715	2296	910
716	2297	906
717	2298	902
718	2299	898
719	2301	894
720	2302	891
721	2304	887
722	2308	884
723	2310	880
724	2312	877
725	2313	873
726	2315	869
727	2316	865
728	2318	862
729	2320	858
730	2321	854
731	2322	850
732	2323	846
733	2324	842
734	2326	838
735	2327	834
736	2328	830
737	2329	827
738	2330	823
739	2339	821
740	2341	818
741	2345	815
742	2351	813
743	2355	810
744	2356	806
745	2358	802
746	2359	799
747	2360	795
748	2373	795
749	2374	791
750	2375	787
751	2376	783
752	2378	780
753	2385	778
754	2387	774
755	2388	770
756	2390	767
757	2392	763
758	2393	759
759	2405	759
760	2407	756
761	2408	752
762	2409	748
763	2414	745
764	2416	742
765	2417	738
766	2418	734
767	2420	731
768	2421	727
769	2422	723
770	2423	719
771	2429	717
772	2430	713
773	2432	710
774	2433	706
775	2434	702
776	2436	699
777	2437	695
778	2438	691
779	2444	689
780	2446	685
781	2447	682
782	2448	678
783	2497	687
784	2498	684
785	2500	680
786	2500	676
787	2501	673
788	2503	669
789	2504	665
790	2511	663
791	2513	659
792	2514	656
793	2515	652
794	2517	649
795	2518	645
796	2527	643
797	2529	640
798	2531	636
799	2534	633
800	2543	632
801	2546	628
802	2548	625
803	2549	621
804	2550	617
805	2551	614
806	2552	610
807	2561	608
808	2563	605
809	2565	601
810	2566	598
811	2568	594
812	2592	596
813	2593	592
814	2600	590
815	2605	587
816	2607	583
817	2608	580
818	2609	576
819	2610	573
820	2611	569
821	2613	565
822	2614	562
823	2615	558
824	2620	555
825	2621	552
826	2622	548
827	2623	545
828	2624	541
829	2626	537
830	2627	534
831	2628	530
832	2630	527
833	2634	524
834	2636	520
835	2637	517
836	2639	513
837	2640	510
838	2641	506
839	2643	503
840	2646	500
841	2650	497
842	2653	494
843	2654	490
844	2655	487
845	2656	483
846	2658	480
847	2659	476
848	2660	473
849	2661	469
850	2664	466
851	2666	463
852	2668	459
853	2669	456
854	2670	452
855	2671	449
856	2672	446
857	2678	443
858	2680	439
859	2681	436
860	2683	433
861	2684	429
862	2685	426
863	2687	423
864	2689	419
865	2694	416
866	2695	413
867	2696	410
868	2697	406
869	2698	403
870	2699	399
871	2700	396
872	2702	393
873	2703	389
874	2704	386
875	2712	383
876	2713	380
877	2720	377
878	2725	375
879	2729	372
880	2731	368
881	2757	368
882	2760	365
883	2761	362
884	2762	358
885	2763	355
886	2764	352
887	2765	348
888	2767	345
889	2768	342
890	2776	339
891	2779	336
892	2780	333
893	2789	330
894	2796	328
895	2798	324
896	2799	321
897	2806	318
898	2830	317
899	2831	314
900	2838	311
901	2843	308
902	2845	305
903	2846	302
904	2847	298
905	2930	304
906	2942	301
907	2944	298
908	2946	294
909	2951	291
910	2954	288
911	2955	285
912	2956	281
913	2962	278
914	3021	280
915	3022	277
916	3028	274
917	3029	270
918	3031	267
919	3032	263
920	3033	260
921	3034	256
922	3035	253
923	3036	249
924	3038	246
925	3040	243
926	3043	239
927	3048	236
928	3049	233
929	3050	229
930	3052	226
931	3063	223
932	3065	220
933	3066	216
934	3069	213
935	3071	210
936	3077	206
937	3082	203
938	3083	200
939	3085	196
940	3086	193
941	3091	190
942	3094	187
943	3095	183
944	3096	180
945	3097	176
946	3133	175
947	3137	172
948	3141	168
949	3160	166
950	3163	163
951	3175	160
952	3176	156
953	3177	153
954	3179	149
955	3187	146
956	3189	143
957	3191	139
958	3192	136
959	3194	133
960	3195	129
961	3197	126
962	3200	122
963	3203	119
964	3205	116
965	3206	112
966	3207	109
967	3208	106
968	3236	103
969	3255	100
970	3257	97
971	3258	93
972	3260	90
973	3262	87
974	3272	83
975	3273	80
976	3274	77
977	3275	73
978	3276	70
979	3278	66
980	3280	63
981	3338	61
982	3339	57
983	3341	54
984	3342	50
985	3343	47
986	3344	44
987	3346	40
988	3347	37
989	3358	33
990	3365	30
991	3366	27
992	3369	23
993	3370	20
994	3380	16
995	3382	13
996	3384	10
997	3385	6
998	3386	3
999	3399	0
